id	x	y	cluster	weight<Links>	weight<Total link strength>	label
1	-0.7735	-0.1897	2	17	58	ZL201110443495.1
10	-0.6561	0.5081	3	17	58	ZL201410817069.3
11	-0.0461	0.8131	3	17	58	ZL201310741928.0
12	-0.0561	-0.813	2	17	58	ZL201110325918.X
13	-0.2441	-0.2883	2	17	148	ZL201510518249.6
14	-0.6629	-0.501	2	17	58	ZL201310379503.X
15	-0.3905	-0.7308	2	17	58	ZL201310379404.1
16	0.7382	-0.4028	1	17	58	ZL200510116715.4
17	0.4442	-0.7161	4	17	58	ZL200510116716.9
18	0.2757	0.4029	1	17	58	ZL200710119868.3
2	-0.7724	0.1984	3	17	58	ZL201210269042.6
3	-0.382	0.7355	3	17	58	ZL201210177206.2
4	0.8511	-0.0049	1	17	58	ZL201410064895.5
5	0.4465	-0.0024	1	17	166	ZL201310037281.3
6	0.2718	-0.4052	5	17	58	ZL201410293589.9
7	0.4538	0.7109	1	17	58	ZL201310036927.6
8	0.7436	0.3932	1	17	58	ZL201310586992.6
9	-0.2411	0.292	3	17	148	ZL201410065242.9
